artist,song,popularity,uri,url
Amy Winehouse,Addicted,44,spotify:track:7or26qS3BfpTtWO3BFw5GE,https://open.spotify.com/track/7or26qS3BfpTtWO3BFw5GE
Alvvays,Adult Diversion,38,spotify:track:22cDldSuj9rgIMXwn4Ofn0,https://open.spotify.com/track/22cDldSuj9rgIMXwn4Ofn0
Patrick Watson,Adventures in Your Own Backyard,28,spotify:track:5MbRyPfgokD3c6nxCV7TFG,https://open.spotify.com/track/5MbRyPfgokD3c6nxCV7TFG
Daft Punk,Aerodynamic,62,spotify:track:3H3cOQ6LBLSvmcaV7QkZEu,https://open.spotify.com/track/3H3cOQ6LBLSvmcaV7QkZEu
Hans Zimmer,Afraid of Time,0,spotify:track:3Vef8GlFWEzrP23UwHjWWl,https://open.spotify.com/track/3Vef8GlFWEzrP23UwHjWWl
Arcade Fire,Afterlife,0,spotify:track:6D43oUO6nImERk2psfXdNY,https://open.spotify.com/track/6D43oUO6nImERk2psfXdNY
Sufjan Stevens,Ah Holy Jesus,0,spotify:track:7H819kvtogxVpKDFplUFKc,https://open.spotify.com/track/7H819kvtogxVpKDFplUFKc
Sufjan Stevens,Ah Holy Jesus (a capella),0,spotify:track:67kwRadxmmURPuWIpEyymY,https://open.spotify.com/track/67kwRadxmmURPuWIpEyymY
Sufjan Stevens,Ah Holy Jesus (with reed organ),0,spotify:track:1FEYWXG23hr3m2vXHpbZeq,https://open.spotify.com/track/1FEYWXG23hr3m2vXHpbZeq
Cage The Elephant,Ain't No Rest For The Wicked,0,spotify:track:1SfOQKZv0c9FqNXd2Kjt6P,https://open.spotify.com/track/1SfOQKZv0c9FqNXd2Kjt6P
The Beatles,Ain't She Sweet - Anthology 1 Version,40,spotify:track:3OUpVpFeNx5jeInhHqiNfs,https://open.spotify.com/track/3OUpVpFeNx5jeInhHqiNfs
The Beatles,Ain't She Sweet - Anthology 3 Version,26,spotify:track:2zsz6dip4W83IlAgp2zP4Y,https://open.spotify.com/track/2zsz6dip4W83IlAgp2zP4Y
Radiohead,Airbag,0,spotify:track:3OsUjkcv1C1v5udFhgRSFg,https://open.spotify.com/track/3OsUjkcv1C1v5udFhgRSFg
,Alabama Shakes performing Don't Wanna Fight Live on KCRW,0,spotify:local:::Alabama+Shakes+performing+Don%27t+Wanna+Fight+Live+on+KCRW:251,
Karkwa,À La Chaîne,12,spotify:track:2Ol6GoKiAvPOyk52QIQvf7,https://open.spotify.com/track/2Ol6GoKiAvPOyk52QIQvf7
Karkwa,Alaska,7,spotify:track:1mYPdmzGjsYpWnFF2XO3MJ,https://open.spotify.com/track/1mYPdmzGjsYpWnFF2XO3MJ
Jean Leloup,Alger,21,spotify:track:4knSB7lhQAtO6UqUeaGox8,https://open.spotify.com/track/4knSB7lhQAtO6UqUeaGox8
Fleece,Aliens,0,spotify:track:27U2Idl2Jl63dltNrgP6rm,https://open.spotify.com/track/27U2Idl2Jl63dltNrgP6rm
Daft Punk,Alive,30,spotify:track:0HadrlP2mwJidGF3pyBX4H,https://open.spotify.com/track/0HadrlP2mwJidGF3pyBX4H
Daft Punk,Alive,48,spotify:track:1PH5Es89c1cENU8WVuWwbp,https://open.spotify.com/track/1PH5Es89c1cENU8WVuWwbp
Brazilian Girls,All About Us,14,spotify:track:22ZIa4vKhUFzb4YZqp7g94,https://open.spotify.com/track/22ZIa4vKhUFzb4YZqp7g94
Humble Braggers,All Alone,0,spotify:track:5GRhjCK4XgTajZvcP8FsRw,https://open.spotify.com/track/5GRhjCK4XgTajZvcP8FsRw
The Whitest Boy Alive,All Ears,0,spotify:track:2hkfe7ug1Wabzapt5HQec4,https://open.spotify.com/track/2hkfe7ug1Wabzapt5HQec4
Nick Galemore,All Goes Wrong,0,spotify:track:1Lwux3cAXrUG3UWjUEGteT,https://open.spotify.com/track/1Lwux3cAXrUG3UWjUEGteT
Vance Joy,All I Ever Wanted,38,spotify:track:62nFeTispaiYq1KzGrONsl,https://open.spotify.com/track/62nFeTispaiYq1KzGrONsl
Radiohead,All I Need,0,spotify:track:51ygW389BW4Dut3B69pSwc,https://open.spotify.com/track/51ygW389BW4Dut3B69pSwc
Bahamas,All I've Ever Known,0,spotify:track:0MOMLuhHqNgJ7uAceOPmfj,https://open.spotify.com/track/0MOMLuhHqNgJ7uAceOPmfj
The Beatles,All I've Got To Do - Remastered 2009,53,spotify:track:5tztLBvTlNC15Np2tnQ5Ll,https://open.spotify.com/track/5tztLBvTlNC15Np2tnQ5Ll
Björk,All Is Full of Love,44,spotify:track:3rrtbnOBDzKQfyYKTezEFe,https://open.spotify.com/track/3rrtbnOBDzKQfyYKTezEFe
Rita Lee,All My Loving,51,spotify:track:5dIZa3pwSn1vDenZpSBEFO,https://open.spotify.com/track/5dIZa3pwSn1vDenZpSBEFO
The Beatles,All My Loving - Anthology 1 Version,30,spotify:track:2vCsB0tzKlAtsSwB4NBprX,https://open.spotify.com/track/2vCsB0tzKlAtsSwB4NBprX
The Beatles,All My Loving - Live / Remastered,32,spotify:track:7j021TxcicWprdXpCcMBeH,https://open.spotify.com/track/7j021TxcicWprdXpCcMBeH
The Beatles,All My Loving - Remastered 2009,70,spotify:track:4joiWvli4qJVEW6qZV2i2J,https://open.spotify.com/track/4joiWvli4qJVEW6qZV2i2J
LMFAO,All Night Long,21,spotify:track:2NsQgzcCEy9hZbHaBG4Xfy,https://open.spotify.com/track/2NsQgzcCEy9hZbHaBG4Xfy
Lionel Richie,All Night Long (All Night) - Single Version,60,spotify:track:2Wb9ejnmy27DUTUe9YF5Ew,https://open.spotify.com/track/2Wb9ejnmy27DUTUe9YF5Ew
Plants and Animals,All Of The Time,6,spotify:track:1zwB5h9WqvAlOTOUapSNSe,https://open.spotify.com/track/1zwB5h9WqvAlOTOUapSNSe
WhoMadeWho,All That I Am,0,spotify:track:6g4jkJItHpKs8Ljwt0EEMx,https://open.spotify.com/track/6g4jkJItHpKs8Ljwt0EEMx
Bahamas,All The Time,0,spotify:track:40WXqoyOLAAugGmJWZU1FY,https://open.spotify.com/track/40WXqoyOLAAugGmJWZU1FY
The Strokes,All The Time,50,spotify:track:7uFZNMEZzAGOwQ6EZID1K4,https://open.spotify.com/track/7uFZNMEZzAGOwQ6EZID1K4
Sufjan Stevens,All the Trees of the Field Will Clap Their Hands,0,spotify:track:5OojmQ36TXkfL2JfoFJcaq,https://open.spotify.com/track/5OojmQ36TXkfL2JfoFJcaq
The Killers,All These Things That I've Done,3,spotify:track:0kYUrLVQOfx21xuXu7OGrT,https://open.spotify.com/track/0kYUrLVQOfx21xuXu7OGrT
The Beatles,All Things Must Pass - Anthology 3 Version,34,spotify:track:25RYJGPnetSkV8le7TeJnR,https://open.spotify.com/track/25RYJGPnetSkV8le7TeJnR
Bahamas,All Time Favourite,0,spotify:track:7hneDPwMWHSDxFZTaiGbaT,https://open.spotify.com/track/7hneDPwMWHSDxFZTaiGbaT
The Beatles,All Together Now - Remastered 2009,44,spotify:track:2ck8lFrYAch2GPtdhpTHe3,https://open.spotify.com/track/2ck8lFrYAch2GPtdhpTHe3
Perfume Genius,All Waters,0,spotify:track:6ZMu3XuSt70jbJa7OfHN7X,https://open.spotify.com/track/6ZMu3XuSt70jbJa7OfHN7X
Brazilian Girls,All We Have,17,spotify:track:7BYRb9EJ90vcBmTHMvmQvm,https://open.spotify.com/track/7BYRb9EJ90vcBmTHMvmQvm
The Beatles,All You Need Is Love,45,spotify:track:3oGGipilQmZTol8qFTR6u1,https://open.spotify.com/track/3oGGipilQmZTol8qFTR6u1
The Beatles,All You Need Is Love - Remastered 2009,42,spotify:track:2Z8cY4QpZTFUZxCQCpvNe1,https://open.spotify.com/track/2Z8cY4QpZTFUZxCQCpvNe1
The Beatles,All You Need Is Love - Remastered 2009,40,spotify:track:6tzFM08UuwxhuftjfUqaQA,https://open.spotify.com/track/6tzFM08UuwxhuftjfUqaQA
The Beatles,All You Need Is Love - Remastered 2009,66,spotify:track:68BTFws92cRztMS1oQ7Ewj,https://open.spotify.com/track/68BTFws92cRztMS1oQ7Ewj
The Beatles,All You Need Is Love - Remastered 2015,58,spotify:track:6KqiVlOLfDzJViJVAPym1p,https://open.spotify.com/track/6KqiVlOLfDzJViJVAPym1p
Ariane Moffatt,All Yours,3,spotify:track:6Ul9vDvJrFNlCQpFvXSLr9,https://open.spotify.com/track/6Ul9vDvJrFNlCQpFvXSLr9
Lester Young,Almost Like Being In Love,0,spotify:track:7jgVqaSm3zrJlFrhVYiZj9,https://open.spotify.com/track/7jgVqaSm3zrJlFrhVYiZj9
The Strokes,"Alone, Together",53,spotify:track:4pXyK9GW7fuT645U0DLYYF,https://open.spotify.com/track/4pXyK9GW7fuT645U0DLYYF
The Strokes,"Alone, Together",50,spotify:track:4UmJMAY5TqXPAnsDW1Mci7,https://open.spotify.com/track/4UmJMAY5TqXPAnsDW1Mci7
Sufjan Stevens,Alphabet St.,0,spotify:track:13Q8MH3xSfIyXSVIQpIl8H,https://open.spotify.com/track/13Q8MH3xSfIyXSVIQpIl8H
Bahamas,Already Yours,13,spotify:track:6gyUiLI8CLSy9UIAiHcJ2j,https://open.spotify.com/track/6gyUiLI8CLSy9UIAiHcJ2j
Tame Impala,Alter Ego,47,spotify:track:2Zy9cf5v1tWFDmXTbahAU8,https://open.spotify.com/track/2Zy9cf5v1tWFDmXTbahAU8
Alabama Shakes,Always Alright,0,spotify:track:17Jg504RgNPNgdpRkJh9Co,https://open.spotify.com/track/17Jg504RgNPNgdpRkJh9Co
Cage The Elephant,Always Something,0,spotify:track:7lWrbqRzkjLIv9SGHUDDnL,https://open.spotify.com/track/7lWrbqRzkjLIv9SGHUDDnL
Michael Kiwanuka,Always Waiting,7,spotify:track:5pxUPHdS1ItmLjU25AbYLg,https://open.spotify.com/track/5pxUPHdS1ItmLjU25AbYLg
They Call Me Rico,Am I Wrong,0,spotify:track:7EIYJ6ina8Zg2jmYKbje6L,https://open.spotify.com/track/7EIYJ6ina8Zg2jmYKbje6L
Other Lives,AM Theme,0,spotify:track:2j2A7RwqpXtff83skQLzJg,https://open.spotify.com/track/2j2A7RwqpXtff83skQLzJg
Radiohead,The Amazing Sounds of Orgy,0,spotify:track:4p9RKOnHojKDseLNZi6A93,https://open.spotify.com/track/4p9RKOnHojKDseLNZi6A93
Electric Guest,Amber,0,spotify:track:6hUoWKThrEV9PtoPIio5TJ,https://open.spotify.com/track/6hUoWKThrEV9PtoPIio5TJ
TRICOT MACHINE,Ambulance,14,spotify:track:67a946zFlPNDkdhi0YK7hG,https://open.spotify.com/track/67a946zFlPNDkdhi0YK7hG
Purity Ring,Amenamy,0,spotify:track:51UseDByqDUbRDQeRWqmhm,https://open.spotify.com/track/51UseDByqDUbRDQeRWqmhm
Estelle,American Boy (feat. Kanye West),0,spotify:track:41on8RwRh22IHcChAN2gm8,https://open.spotify.com/track/41on8RwRh22IHcChAN2gm8
Electric Guest,American Daydream,0,spotify:track:7KBC17M7S7OOiuxpeKwBrM,https://open.spotify.com/track/7KBC17M7S7OOiuxpeKwBrM
Coldplay,Amsterdam,58,spotify:track:2uQ4px5SPONsgcUpulywIQ,https://open.spotify.com/track/2uQ4px5SPONsgcUpulywIQ
The Beatles,And I Love Her - Anthology 1 Version,32,spotify:track:74Z5zhIzC2X2UQPS4OLNNp,https://open.spotify.com/track/74Z5zhIzC2X2UQPS4OLNNp
The Beatles,And I Love Her - Remastered 2009,70,spotify:track:65vdMBskhx3akkG9vQlSH1,https://open.spotify.com/track/65vdMBskhx3akkG9vQlSH1
The Beatles,And Your Bird Can Sing - Take 2 / Anthology 2 Version,33,spotify:track:4gBHbKEHw2QjmgYkS9ixKJ,https://open.spotify.com/track/4gBHbKEHw2QjmgYkS9ixKJ
The Beatles,And Your Bird Can Sing - Remastered 2009,56,spotify:track:4KRgqwb4kvBuTz1utbYxfb,https://open.spotify.com/track/4KRgqwb4kvBuTz1utbYxfb
,"Anderson East - Satisfy Me - 3_15_2015 - Riverview Bungalow, Austin, TX",0,spotify:local:::Anderson+East+-+Satisfy+Me+-+3_15_2015+-+Riverview+Bungalow%2C+Austin%2C+TX:164,
The Killers,"Andy, You're A Star",0,spotify:track:3Jm6PDqIputlpeg75EtDic,https://open.spotify.com/track/3Jm6PDqIputlpeg75EtDic
Hozier,Angel of Small Death and the Codeine Scene,45,spotify:track:3wT3WDdQrsST19f1I08Z1N,https://open.spotify.com/track/3wT3WDdQrsST19f1I08Z1N
Hozier,Angel of Small Death and the Codeine Scene,48,spotify:track:7uY7jZs5srSx3xMmyCI48T,https://open.spotify.com/track/7uY7jZs5srSx3xMmyCI48T
Hozier,Angel of Small Death and the Codeine Scene - Live From Spotify London,43,spotify:track:59o2b2BGgziNyPx9f3xnhA,https://open.spotify.com/track/59o2b2BGgziNyPx9f3xnhA
The Lumineers,Angela,0,spotify:track:0wO3tPeULKGfrArC50Apea,https://open.spotify.com/track/0wO3tPeULKGfrArC50Apea
Sufjan Stevens,Angels We Have Heard On High,0,spotify:track:4IQcYP8p7Ts33ajSPkWktw,https://open.spotify.com/track/4IQcYP8p7Ts33ajSPkWktw
Sufjan Stevens,Angels We Have Heard On High,0,spotify:track:27xdZ9J1uQPIOWR2yNe8Ey,https://open.spotify.com/track/27xdZ9J1uQPIOWR2yNe8Ey
Miike Snow,Animal,61,spotify:track:6vSq5q5DCs1IvwKIq53hj2,https://open.spotify.com/track/6vSq5q5DCs1IvwKIq53hj2
Miike Snow,Animal,13,spotify:track:3HZPvDcGoiEm4GngYjELjw,https://open.spotify.com/track/3HZPvDcGoiEm4GngYjELjw
Miike Snow,Animal - Mark Ronson Extended Remix,8,spotify:track:5Jj8wUicHq3X7nTXorseMr,https://open.spotify.com/track/5Jj8wUicHq3X7nTXorseMr
The Dø,Anita No!,11,spotify:track:6g3kSbl4ASleukET1mjgfp,https://open.spotify.com/track/6g3kSbl4ASleukET1mjgfp
Fujiya & Miyagi,Ankle Injuries,0,spotify:track:03K4RhOIVA6t2jhHOga4w8,https://open.spotify.com/track/03K4RhOIVA6t2jhHOga4w8
The Beatles,Anna (Go To Him) - Remastered 2009,56,spotify:track:2baEFuU0gQon0hgVRioI1o,https://open.spotify.com/track/2baEFuU0gQon0hgVRioI1o
Mac DeMarco,Annie,0,spotify:track:4m3jRZFptAhh3d0Qw4r9Vh,https://open.spotify.com/track/4m3jRZFptAhh3d0Qw4r9Vh
Mac DeMarco,Annie,0,spotify:track:4YOc7XAKizsjb2I6Io5P8j,https://open.spotify.com/track/4YOc7XAKizsjb2I6Io5P8j
Mac DeMarco,Annie,0,spotify:track:6o9Dt1j9ywLoX8B9dqRM5D,https://open.spotify.com/track/6o9Dt1j9ywLoX8B9dqRM5D
